ACTRESS NAME,DOB
Frances Sternhagen,1930-01-13
Amber Stevens,1986-10-07
Connie Stevens,1938-08-08
Kaye Stevens,None
Stella Stevens,1938-10-01
Elaine Stewart,None
Kristen Stewart,1990-04-09
Julia Stiles,1981-03-28
Emma Stone,1988-11-06
Jennifer Stone,1993-02-12
Sharon Stone,1958-03-10
Alyson Stoner,1993-08-11
Gale Storm,None
Madeleine Stowe,1958-08-18
Beatrice Straight,None
Susan Strasberg,None
Meryl Streep,1949-06-22
Barbra Streisand,1942-04-24
Cecily Strong,1984-02-04
Brenda Strong,1960-03-25
Jessica Stroup,1986-10-23
Sally Struthers,1947-07-28
Barbara Stuart,None
Jean Stuart,None
Gloria Stuart,None
Margaret Sullavan,None
Kelly Sullivan,1978-02-03
Kristine Sutherland,1955-04-17
Carol Sutton,None
Mena Suvari,1979-02-13
Dominique Swain,1980-08-12
Hilary Swank,1974-07-30
Gloria Swanson,None
Kristy Swanson,1969-12-19
Julia Sweeney,1959-10-10
Jodie Sweetin,1982-01-19
Taylor Swift,1989-12-13
Loretta Swit,1937-11-04
Wanda Sykes,1964-03-07
Raven-Symoné,1985-12-10
Sophia Takal,None
Nita Talbot,1930-08-08
Patricia Tallman,1957-09-04
Constance Talmadge,None
Natalie Talmadge,None
Norma Talmadge,None
Amber Tamblyn,1983-05-14
Jessica Tandy,None
Katelyn Tarver,1989-11-02
Lilyan Tashman,None
Sharon Tate,None
Christine Taylor,1971-07-30
Elizabeth Taylor,None
Holland Taylor,1943-01-14
Jennifer Taylor,1972-04-19
Leigh Taylor-Young,None
Lili Taylor,1967-02-20
Scout Taylor-Compton,1989-02-21
Tamara Taylor,1970-09-27
Aimee Teegarden,1989-10-10
Shirley Temple,None
Tia Texada,1971-12-14
Maria Thayer,1975-10-30
Charlize Theron,1975-08-07
Tiffany Thiessen,1974-01-23
Lynne Thigpen,None
Olivia Thirlby,1986-10-06
Marlo Thomas,1937-11-21
Lea Thompson,1961-05-31
Susanna Thompson,1958-01-27
Tessa Thompson,1983-10-03
Bella Thorne,1997-10-08
Callie Thorne,1969-11-20
Courtney Thorne-Smith,1967-11-08
Uma Thurman,1970-04-29
Gene Tierney,None
Maura Tierney,1965-02-03
Pamela Tiffin,1942-10-13
Jennifer Tilly,1958-09-16
Meg Tilly,1960-02-14
Addison Timlin,1991-06-29
Lio Tipton,1988-11-09
Ashley Tisdale,1985-07-02
Hallie Todd,1962-01-07
Thelma Todd,None
Lauren Tom,1961-08-04
Nicholle Tom,1978-03-23
Marisa Tomei,1964-12-04
Tamlyn Tomita,1966-01-27
Lily Tomlin,1939-09-01
Gina Torres,1969-04-25
Audrey Totter,None
Constance Towers,1933-05-20
Michelle Trachtenberg,1985-10-11
Thalia Tran,None
Nancy Travis,1961-09-21
Claire Trevor,None
Jeanne Tripplehorn,1963-06-10
Rachel True,1966-11-15
Jessica Tuck,1963-02-19
Robin Tunney,1972-06-19
Paige Turco,1965-05-17
Bree Turner,1977-03-10
Janine Turner,1962-12-06
Kathleen Turner,1954-06-19
Lana Turner,None
Tina Turner,1939-11-26
Helen Twelvetrees,None
Aisha Tyler,1970-09-18
Liv Tyler,1977-07-01
Susan Tyrrell,None
Cicely Tyson,None
Alanna Ubach,1975-10-03
Leslie Uggams,1943-05-25
Tracey Ullman,1959-12-30
Kim Johnston Ulrich,1955-03-24
Carrie Underwood,1983-03-10
Sara Jean Underwood,1984-03-24
Sheryl Underwood,1963-10-28
Gabrielle Union,1972-10-29
Kate Upton,1992-06-10
Jenna Ushkowitz,1986-04-28
Brenda Vaccaro,1939-11-18
Cristina Valenzuela,1987-07-11
Sigrid Valdis,None
Nancy Valen,1965-12-16
Brooke Valentine,1984-10-05
Cindy Valentine,1975-08-22
Karen Valentine,1947-05-25
Amber Valletta,1974-02-09
Joan Van Ark,1943-06-16
Nadine van der Valde,1962-05-14
Mamie Van Doren,1931-02-06
Hilary Van Dyke,1970-10-30
Grace Van Patten,1996-11-21
Joyce Van Patten,1934-03-09
Deborah Van Valkenburgh,1952-08-29
Monique Van Vooren,None
Jo Van Fleet,None
Danitra Vance,None
Vivian Vance,None
Shantel VanSanten,1985-07-25
Janet Varney,1976-02-16
Diane Varsi,None
Liz Vassey,1972-08-09
Sofia Vassilieva,1992-10-22
Countess Vaughn,1978-08-08
Terri J. Vaughn,1969-10-16
Alexa Vega,1988-08-27
Makenzie Vega,1994-02-10
Jaci Velasquez,1979-10-15
Nadine Velazquez,1978-11-20
Lauren Vélez,1964-11-02
Diane Venora,1952-08-10
Gwen Verdon,None
Elena Verdugo,None
Sofia Vergara,1972-07-10
Kate Vernon,1961-04-21
Victoria Vetri,1944-09-26
Yvette Vickers,None
Christina Vidal,1981-11-18
Lisa Vidal,1965-06-13
Tracy Vilar,1968-04-12
Nana Visitor,1957-07-26
Jenna von Oÿ,1977-05-02
Lark Voorhies,1974-03-25
Gloria Votsis,1979-02-09
Caitlin Wachs,1989-03-15
Lindsay Wagner,1949-06-22
Natasha Gregson Wagner,1970-09-29
Janet Waldo,None
Shawna Waldron,1982-01-25
Abby Walker,1987-04-08
Ally Walker,1961-08-25
Arnetia Walker,1954-07-11
Bree Walker,1953-02-26
Dreama Walker,1986-06-20
Kathryn Walker,1943-01-09
Nancy Walker,None
Dee Wallace,1948-12-14
Marcia Wallace,None
Quvenzhané Wallis,2003-08-28
Kate Walsh,1967-10-13
Maiara Walsh,1988-02-18
Jessica Walter,None
Lisa Ann Walter,1963-08-03
Laurie Walters,1947-01-08
Melora Walters,1960-10-21
Nancy Walters,None
Susan Walters,1963-09-28
Peggy Walton-Walker,1943-09-01
Zoë Wanamaker,1949-05-13
B. J. Ward,1944-09-16
Maitland Ward,1977-02-03
Megan Ward,1969-09-24
Rachel Ward,1957-09-12
Sela Ward,1956-07-11
Susan Ward,1976-04-15
Emily Warfield,1972-08-10
Marlene Warfield,1940-06-19
Marsha Warfield,1954-03-05
Dawn Rochelle Warner,1972-12-07
Julie Warner,1965-02-09
Estella Warren,1978-12-23
Jennifer Warren,1941-08-12
Karle Warren,1992-02-08
Kiersten Warren,1965-11-04
Lesley Ann Warren,1946-08-16
Ruth Warrick,None
Fredi Washington,None
Kerry Washington,1977-01-31
Ethel Waters,None
Katherine Waterston,1980-03-03
Carlene Watkins,1952-06-04
Michaela Watkins,1971-12-14
Cynthia Watros,1968-09-02
Vernee Watson-Johnson,1949-09-28
Rolonda Watts,1959-07-12
Kim Wayans,1961-10-16
Carol Wayne,None
Shawn Weatherly,1959-07-24
Sigourney Weaver,1949-10-08
Bresha Webb,1987-07-10
Chloe Webb,1956-06-25
Haley Webb,1985-11-25
Jane Webb,None
Veronica Webb,1965-02-25
Ann Wedgeworth,None
Virginia Weidler,None
Liza Weil,1977-06-05
Rachel Weisz,1970-03-07
Raquel Welch,1940-09-05
Savannah Welch,1984-08-04
Tahnee Welch,1961-12-26
Tuesday Weld,1943-08-27
Gwen Welles,None
Rebecca Wells,None
Dawn Wells,None
Mae West,None
Celia Weston,1951-12-14
Patricia Wettig,1951-12-04
Dana Wheeler-Nicholson,1960-10-09
Jill Whelan,1966-09-29
Lisa Whelchel,1963-05-29
Shannon Whirry,1964-11-07
Betty White,1922-01-17
Carole Ita White,1949-08-24
Julie White,1961-06-04
Karen Malina White,1965-07-07
Michole Briana White,1969-05-29
Persia White,1972-10-24
Ruth White,None
Lynn Whitfield,1953-05-06
Mae Whitman,1988-06-09
Kym Whitley,1961-06-07
Grace Lee Whitney,None
Mary Wickes,None
Katherine Widdoes,1939-03-21
Dianne Wiest,1948-03-28
Laura Slade Wiggins,1988-08-08
Kristen Wiig,1973-08-22
Collin Wilcox,None
Lisa Wilcox,1964-04-27
Abby Wilde,1989-02-25
Olivia Wilde,1984-03-10
Samira Wiley,1987-04-15
Kathleen Wilhoite,1964-06-29
Adrienne Wilkinson,1977-09-01
Allison Williams,1988-04-13
Cara Williams,1925-06-29
Cindy Williams,1947-08-22
Esther Williams,None
JoBeth Williams,1948-12-06
Kelli Williams,1970-06-08
Kiely Williams,1986-07-09
Kimberly Williams-Paisley,1971-09-14
Kimberly Kevon Williams,1985-10-08
Malinda Williams,1970-09-24
Michelle Williams,1980-09-09
Michelle Williams (singer),1980-07-23
Natashia Williams,1978-08-02
Vanessa Williams,1963-03-18
Vanessa Estelle Williams,1963-05-12
Vesta Williams,None
Wendy Williams,1964-07-18
Zelda Williams,1989-07-31
Afton Williamson,1984-09-07
Jana Williamson,1974-03-12
Kate Williamson,None
Kenya D. Williamson,1945-11-20
Alicia Leigh Willis,1978-03-01
Katherine Willis,1971-05-02
Rumer Willis,1988-08-16
Beverly Wills,None
Bridgette Wilson,1973-09-25
Casey Wilson,1980-10-24
Chandra Wilson,1969-08-27
Debra Wilson,1962-04-26
Elizabeth Wilson,None
Kristen Wilson,1969-09-04
Mara Wilson,1987-07-24
Mary Louise Wilson,1931-11-12
Rita Wilson,1956-10-26
Sheree J. Wilson,1958-12-12
Camille Winbush,1990-02-09
Oprah Winfrey,1954-01-29
Debra Winger,1955-05-16
Mare Winningham,1959-05-16
Mary Elizabeth Winstead,1984-11-28
Ariel Winter,1998-01-28
Shelley Winters,None
Jane Withers,None
Reese Witherspoon,1976-03-22
Alicia Witt,1975-08-21
Collette Wolfe,1980-04-04
Fryda Wolff,1982-05-25
Deborah Ann Woll,1985-02-07
Evan Rachel Wood,1987-09-07
Lana Wood,1946-03-31
Natalie Wood,None
Alfre Woodard,1952-11-08
Pat Woodell,None
Shailene Woodley,1991-11-15
Joanne Woodward,1930-02-27
Shannon Woodward,1984-12-17
Fay Wray,None
N'Bushe Wright,1970-09-20
Robin Wright,1966-04-08
Teresa Wright,None
Kari Wuhrer,1967-04-28
Jane Wyman,None
Jane Wyatt,None
Celeste Yarnall,None
Deborah Yates,1970-06-05
Amy Yasbeck,1962-09-12
Morgan York,1993-01-18
Evelyn Young,None
Loretta Young,None
Sean Young,1959-11-20
Barrie Youngfellow,1946-10-26
Grace Zabriskie,1941-05-17
Pia Zadora,1953-05-04
Lisa Zane,1961-04-05
Carmen Zapata,None
Natalie Zea,1975-03-17
Nora Zehetner,1981-02-05
Renée Zellweger,1969-04-25
Zendaya,1996-09-01
Madeline Zima,1985-09-16
Vanessa Zima,1986-12-17
Yvonne Zima,1989-01-16
Stephanie Zimbalist,1956-10-08
Constance Zimmer,1970-10-11
Charlotte Zucker,None
Daphne Zuniga,1962-10-28
